,target,1,2,3,4,5
0,http://koost.eveel.ru/science/AICT12.pdf,dialogue_2001_86d74f3bc770ec15a94bff16b28698291010853f,http://www.dialog-21.ru/media/2345/ageev-m.pdf,http://www.dialog-21.ru/media/1829/08.pdf,aist_2012_4fdc60d1642dbc1c30338a560f5c6ede9fbc5dc1,dialogue_2012_d996fe64b9a00e4ac81f45a565f780f561da9ae0
1,dialogue_2000_d779021b5cfc493595763bb6c4c3574894e715a9,http://www.dialog-21.ru/media/2704/zagorulko.pdf,dialogue_2000_5cc9adf05e6ca34ce4d0ccf715690fa30a552702b,http://www.dialog-21.ru/media/2596/kurziner.pdf,dialogue_2001_be5965236f4b880a205e758e9471ee7a42ba4418,dialogue_2000_9ab60509e0381a397e85a802074a0cfbcf33f3ef
2,dialogue_2000_36d974d4d7e5f5c5dad83e90551a821a0a2c9f3e,dialogue_2001_95cf9fa6c035da6960747d0a257d51190062c984,http://www.dialog-21.ru/media/1983/litvinenko.pdf,dialogue_2002_6078812a5fee2547879ab73b76e9b80925660a87,http://www.dialog-21.ru/media/2675/parshin.pdf,dialogue_2000_9ab60509e0381a397e85a802074a0cfbcf33f3ef
3,dialogue_2000_c484e5f1e10cf1b0a63b184ce32b8a48d50a3cbe,http://www.dialog-21.ru/media/2691/shmeleva.pdf,http://www.dialog-21.ru/media/1564/14.pdf,http://www.dialog-21.ru/media/2674/paducheva.pdf,http://www.dialog-21.ru/media/1265/lyashevskayaon.pdf,dialogue_2010_4e4dd4872db304cd22cbf5e6c284a9d747c419c9
4,dialogue_2000_8da4e8aef1ada2f8a21b8873256f68c2c0e9e529,http://www.dialog-21.ru/media/1858/37.pdf,http://www.dialog-21.ru/media/2024/zaliznyak2.pdf,http://www.dialog-21.ru/media/1265/lyashevskayaon.pdf,http://www.dialog-21.ru/media/1473/72.pdf,dialogue_2018_af5533c7f99822a0ad491fbaef48eb062c99aff5
5,dialogue_2002_1278cd2b6bcea491ef72101cf6f227cbfc664289,http://www.dialog-21.ru/media/1794/74.pdf,dialogue_2001_be5965236f4b880a205e758e9471ee7a42ba4418,http://www.dialog-21.ru/media/2569/sokirko.pdf,http://www.dialog-21.ru/media/2376/iomdin-boguslavski-lazurski.pdf,dialogue_2004_36a9f38554476b34e8fbf47ff77076d107531c47
6,dialogue_2002_977c4161efebe2a2da2bc9070b4c366f6dd7790d,dialogue_2001_1189cd5543167e68dd16da4f5064538dbe735123,dialogue_2000_11de6e43b8706db4a686b23a3d1b70f69749d0ce,http://www.dialog-21.ru/media/1646/21.pdf,http://www.dialog-21.ru/media/2669/najdenova.pdf,dialogue_2000_cf2a4cd1b83ab89bf09f67e00347ca55b81e1183
7,dialogue_2002_189f5dd4351f966d86f836462283ef485f0255cd,http://www.dialog-21.ru/media/1221/apresyanvju.pdf,http://www.dialog-21.ru/media/1556/06.pdf,dialogue_2000_7823ca8177340fc0f64886036d550b893fe79f0c,dialogue_2002_ce580dfd5eaecc1a3d07d1698338ec7fe3bb1144,dialogue_2008_657658b7188aae17889619e8c3b3554fd4be9a26
8,http://www.dialog-21.ru/media/2611/bolshakov.pdf,dialogue_2000_b31b8a9d4dfe0f85e0ec7d43b0e0e2213d4de8c7,http://www.dialog-21.ru/media/1832/11.pdf,dialogue_2001_386675f07a48b397df0f5d586d17acf25336ab20,dialogue_2002_4419945689b9f937bc56f1b79de8b6de279c9552,dialogue_2009_c692fba016a4f21ad2ca1583b3fce5f2fbc49bbf
9,http://www.dialog-21.ru/media/2677/pekar.pdf,http://www.dialog-21.ru/media/2372/grudeva-e.pdf,dialogue_2002_091540154163c30168b3b3787c2cfd91786a965f,http://www.dialog-21.ru/media/2647/kotov.pdf,http://www.dialog-21.ru/media/2406/malkovski-zhalybin.pdf,dialogue_2008_78009520833616e2c2797c1aeab2dafbb26062ac
