terms_short	lost_proc	saved	lost
TASK::Токенизация	50.0	tokenization	токенизация
TASK::Морфологический_анализ	16.7	morphology, морфологический, tagging, lemmatization, морфология	лемматизация
TASK::Синтаксический_анализ	20.0	синтаксис, parsing, синтаксический, syntax	парсинг
TASK::Проверка_правописания	0.0	spellchecking, checking, spell, spellchecker, проверка, орфография, правописание	
TASK::Проверка_грамматики	0.0	grammar, грамматика, checking, проверка	
TASK::Построение_конкордансов	0.0	конкорданс, concordance	
TASK::Извлечение_ключевых_слов	0.0	ключевой, keyword, извлечение, extraction, ключевые	
TASK::Автоматическое_реферирование	50.0	summarization	суммаризация
TASK::Тематическая_классификация	0.0	классификация, тематический, topic, classification	
TASK::Тематическое_моделирование	0.0	моделирование, тематический, modeling, topic	
TASK::Извлечение_именованных_сущностей	16.7	сущность, распознавание, recognition, entity, name	именованный
TASK::Извлечение_отношений	0.0	отношение, отношения, извлечение, relation, extraction	
TASK::Анализ_тональности	25.0	analysis, sentiment, тональность	сентимент
TASK::Информационный_поиск	0.0	information, поиск, retrieval, информационный	
TASK::Машинный_перевод	0.0	machine, перевод, машинный, translation	
TASK::Обнаружение_дубликатов	33.3	detection, обнаружение, duplicate, deduplication	дедупликация, дупликат
TASK::Cегментация_текста	0.0	segmentation, сегментация, текст, text	
TASK::Обработка_речи	0.0	processing, speech, звучащий, речь	
TASK::Конечные_преобразователи	0.0	преобразователь, конечный, transducer, finite	
TASK::Языковые_модели	0.0	language, языковой, modeling, моделирование	
TASK::Тезаурусы	0.0	thesaurus, thesauri, тезаурус, тезаурусы	
TASK::Корпусы	0.0	корпуса, корпус, corpora, корпусы, corpus	
TASK::Дистрибутивная_семантика	28.6	distributional, семантика, semantic, embedding, distributive	дистрибутивный, эмбеддинг

terms_long	lost_proc	saved	lost
TASK::Токенизация	55.6	tokenization, tokens, токен, token	tokenize, токенизировать, токенизация, токены, tokenise
TASK::Морфологический_анализ	18.8	лемма, lemmatisation, lemmatize, morphologic, леммы, lemmatization, lemma, morphological, morphology, морфологический, tagging, lemmas, морфология	lemmatise, лемматизация, лемматизировать
TASK::Синтаксический_анализ	0.0	parsers, синтаксический, parse, parsing, syntactical, syntax, синтаксис, parser, syntactically, syntactic	
TASK::Проверка_правописания	0.0	spelling, спеллинг, орфографии, орфографический, правописание, spell, checking, spellchecker, проверка, орфография, spellcheck	
TASK::Проверка_грамматики	0.0	grammar, грамматика, check, грамматические, грамматики, grammatically, checking, grammatical, грамматический, проверка, грамматических	
TASK::Построение_конкордансов	0.0	concordances, конкорданс, concordance	
TASK::Извлечение_ключевых_слов	0.0	extract, извлечение, ключевой, keyword, ключевые, extracting, extraction, keywords, ключевых	
TASK::Автоматическое_реферирование	20.0	summarising, summarized, summary, summarization, summarise, summarize, summarised, summarizing	summarisation, суммаризация
TASK::Тематическая_классификация	0.0	classifications, темы, тематическая, тема, тематический, классификация, topic, classification, topics	
TASK::Тематическое_моделирование	0.0	темы, моделирование, тема, тематический, modeling, modelling, topic, тематическое, topics	
TASK::Извлечение_именованных_сущностей	10.0	сущность, именованные, распознавание, recognition, entity, сущности, named, именованных, сущностей	именованный
TASK::Извлечение_отношений	0.0	отношение, отношений, отношения, извлечение, relation, extraction	
TASK::Анализ_тональности	20.0	analysis, sentiment, тональность, тональности	сентимент
TASK::Информационный_поиск	0.0	информации, retrieval, информация, information, поиск, информационного, информационный	
TASK::Машинный_перевод	0.0	translating, translator, перевода, переводы, переводчик, машинный, translators, machine, translation, машинного, translate, перевод	
TASK::Обнаружение_дубликатов	30.0	дубликат, обнаружение, duplicates, detection, duplicate, deduplication, дубликаты	дедупликация, дупликат, дупликаты
TASK::Cегментация_текста	0.0	сегменты, segmentation, segments, текст, сегмент, сегментация, text, segment	
TASK::Обработка_речи	0.0	processing, обработка, речи, звучащий, звучащей, речь, звучащая, speech	
TASK::Конечные_преобразователи	0.0	конечные, конечный, finite, преобразователь, transducers, transducer	
TASK::Языковые_модели	0.0	language, модель, моделирование, языковое, modeling, modelling, языковая, models, model	
TASK::Тезаурусы	0.0	thesaurus, thesauri, тезаурус, тезаурусы	
TASK::Корпусы	0.0	корпуса, корпус, corpora, корпусы, corpus	
TASK::Дистрибутивная_семантика	35.0	distributional, embeddings, neighbour, neighbor, семантика, распределённый, neighbours, вложение, semantic, neighbors, embedding, distributive, представление	дистрибутивная, распределённое, распределенный, эмбеддинги, дистрибутивный, эмбеддинг, распределенное
