10	499
11	472
12	406
вопервых	374
14	356
13	355
16	353
вовторых	344
15	331
2004	323
2003	321
2006	304
изза	293
2005	283
2008	276
2007	271
2001	263
повидимому	256
2000	250
17	244
2002	237
18	236
2009	236
1998	223
1999	218
19	218
1996	213
20	212
употреблений	208
словоформ	206
1997	205
семантическим	193
какойто	189
нкря	187
иили	183
1995	182
22	177
21	176
падучева	175
поразному	166
23	166
2010	162
30	151
25	147
сочетаемости	147
24	146
1992	144
лексема	143
какойлибо	140
семантическом	138
семантическими	136
1980	131
коммуникативного	129
31	129
27	129
26	128
2011	126
словоупотреблений	125
синтаксическую	125
1988	121
сочетаемость	119
1990	116
1994	115
1985	115
эксплицитно	112
мельчук	111
28	111
синтаксическим	110
какието	110
dialogindb	110
слушающего	109
говорящему	109
1993	109
всетаки	108
1991	107
1974	105
изд-во	105
2013	105
синтаксическими	104
актантов	104
1986	104
синтаксическом	103
дискурсивных	103
дискурсивные	103
2012	103
1989	102
какоголибо	101
словоформа	100
29	100
т.е	98
57	98
омонимия	97
тезауруса	97
предикаты	96
втретьих	94
1982	94
както	92
лексическим	91
1987	91
семантическому	90
нти	90
речевом	87
апресяна	87
валентностей	87
просодических	86
рахилина	85
36	84
32	84
какоето	84
дискурсивной	84
dialog'2010.indb	84
ктото	83
чемто	82
т.п	82
синтаксическое	80
33	80
иомдин	79
кобозева	79
35	79
lingvistika	79
лексическими	78
маркирует	78
2014	77
какихлибо	76
речевым	76
russkogo	76
прагматических	75
издво	75
1984	75
синтагмы	74
1983	73
актант	73
коммуникативно	73
арутюнова	73
50	73
37	73
во-первых	72
коммуникативный	72
100	72
1977	72
39	72
34	72
клаузы	72
2015	72
какогото	71
коммуникативную	71
38	71
45	71
информантов	70
просодической	69
какимто	69
05.2010	69
частотным	68
нариньяни	68
лексемой	68
80	68
40	68
подлесская	68
konferentsii	68
опишем	67
объяснительный	67
41	67
intellektual’nye	67
деривации	66
референции	66
42	66
актанта	66
просодические	65
полисемии	65
плунгян	65
словоформе	64
варьирование	64
интонационных	64
вариативности	64
предикатом	64
юд	62
лексическую	62
слушающему	62
70	62
1981	62
2016	61
контекстных	60
лексемами	60
лексему	60
словоформу	60
крейдлин	60
глагольного	60
левонтина	60
интонационные	60
58	60
анализируемых	59
во-вторых	59
44	59
варьирования	59
дискурсивного	59
слушающий	59
просодии	59
tekhnologii	59
из-за	58
придаточное	58
48	58
56	58
онтологий	57
1975	57
какихто	57
прагматически	57
урысон	57
инфинитивом	56
прагматические	56
актанты	56
употреблениях	56
ных	55
какомто	55
43	55
интонационного	55
какуюто	55
корпусное	55
анализируемого	54
98	54
гдето	54
синонимии	54
синонимические	54
хезитации	54
52	54
порусски	53
по-видимому	53
ремы	53
1972	53
