,target,1,2,3,4,5
0,http://koost.eveel.ru/science/AICT12.pdf,http://www.dialog-21.ru/media/2570/sokolova.pdf,http://www.dialog-21.ru/media/2652/krapuhina.pdf,http://www.dialog-21.ru/media/2437/zagoruykong.pdf,dialogue_2000_eac2e718834af441601a1fa42b44fb7aa8f44b78,dialogue_2004_9a6ae04ed899d810149ad05dcfb19b5410b81948
1,dialogue_2000_d779021b5cfc493595763bb6c4c3574894e715a9,dialogue_2000_fb13a686c835b566e6b030de601c25cd9d029a03,http://www.dialog-21.ru/media/1219/alpatovvm.pdf,http://www.dialog-21.ru/media/2642/kobozeva.pdf,http://www.dialog-21.ru/media/1964/kopotev.pdf,dialogue_2003_7530c233ee5aae52940b95033cca5be71580ef85
2,dialogue_2000_36d974d4d7e5f5c5dad83e90551a821a0a2c9f3e,dialogue_2001_4d688c18a8921a58cdcc5cf5e470cfac21662c43,dialogue_2002_c4c0f63feb5ca3438ecd8cbc84280e5d5eb733db,dialogue_2002_c892d983251fd4a9aaaa9d3823fd1f5c47efa736,http://www.dialog-21.ru/media/2642/kobozeva.pdf,dialogue_2007_a063b56695ef07548600f85f7c02e8fc07aea472
3,dialogue_2000_c484e5f1e10cf1b0a63b184ce32b8a48d50a3cbe,dialogue_2000_fb47f14905f30772e75b7dd2eef1efa7c18084bc,http://www.dialog-21.ru/media/1865/44.pdf,dialogue_2001_5efd5f54c9b9189e389321b1aeddd62659fe47a8,http://www.dialog-21.ru/media/1781/61.pdf,dialogue_2010_b7faa43bf943f5668f42fa9a65cbdda40f592f4d
4,dialogue_2000_8da4e8aef1ada2f8a21b8873256f68c2c0e9e529,http://www.dialog-21.ru/media/1903/82.pdf,http://www.dialog-21.ru/media/2029/zimmerling.pdf,http://www.dialog-21.ru/media/1804/84.pdf,http://www.dialog-21.ru/media/1631/81.pdf,dialogue_2003_69321ba7a0eaf7a302ca7e0a315d0df584af685d
5,dialogue_2002_1278cd2b6bcea491ef72101cf6f227cbfc664289,dialogue_2000_eac75dad715b552be2cd0e7f487027de0b209d6e,dialogue_2002_abaf95b5c66e73d382e5597c91b8cf56110ece3f,http://www.dialog-21.ru/media/2049/shmeleva.pdf,dialogue_2002_d3c8a2a3ad72c94f653904793659c86972d61bb5,dialogue_2012_4a5d5f13d3874fb42a87711012eeab881c4eb3a8
6,dialogue_2002_977c4161efebe2a2da2bc9070b4c366f6dd7790d,dialogue_2001_86d74f3bc770ec15a94bff16b28698291010853f,dialogue_2000_656d0d77d8325fa9636a973be944d8b6f6cb924a,dialogue_2002_95ec453188ac28fa8af193d4c4f0d3989b72eefe,http://www.dialog-21.ru/media/2598/afanisjev.pdf,dialogue_2010_31de5df62927b731f2bd1fd8447c407461da3107
7,dialogue_2002_189f5dd4351f966d86f836462283ef485f0255cd,http://www.dialog-21.ru/media/2414/perekrestenkoa.pdf,http://www.dialog-21.ru/media/1832/11.pdf,http://www.dialog-21.ru/media/2005/starostin.pdf,http://www.dialog-21.ru/media/1264/lyashevskaya-mitrofanova.pdf,dialogue_2003_d2833f08db67f72fee623ad229a7510c7b8df9aa
8,http://www.dialog-21.ru/media/2611/bolshakov.pdf,dialogue_2000_aa737aec6c6aca16230c8f4793e25fe94a99bced,http://www.academia.edu/download/31338210/aist2013_submission_38.pdf,http://www.dialog-21.ru/media/1624/74.pdf,http://www.dialog-21.ru/media/1933/bolshakova.pdf,dialogue_2012_f72aeeb582a7e35f44b1c8517b574009e04787ac
9,http://www.dialog-21.ru/media/2677/pekar.pdf,http://www.dialog-21.ru/media/1380/105.pdf,http://www.dialog-21.ru/media/1220/antonovaaj.pdf,http://www.dialog-21.ru/media/1332/159.pdf,http://www.dialog-21.ru/media/1653/28.pdf,dialogue_2002_586a53fd1369411ce28af3c73f813cd7ee699bde
