аксон	axon
аллергия	allergy
алюминий	aluminium
анемия	anemia
артерия	artery
бензин	gasoline
бериллий	beryllium
биом	biome
биосфера	biosphere
биотехнология	biotechnology
геология	geology
геоморфология	geomorphology
гравитация	gravity
группа крови	blood type
калория	calorie
кома	coma
кровь	blood
кровяное давление	blood pressure
лес	forest
песец	arctic fox
плод	fruit
спирты	alcohol
фоссилии	fossil
химическая реакция	chemical reaction
химический элемент	chemical element
химия	chemistry
холера	cholera
холестерин	cholesterol
эвкалипт	eucalyptus
экосистема	ecosystem
электрический двигатель	electric motor
электролиз	electrolysis
электрон	electron
эпидемиология	epidemiology
эпилепсия	epilepsy
анаграмма	anagrams
анахронизм	anachronism
арабское письмо	arabic alphabet
беневенто	benevento
берилл	beryl
блог	blog
булева алгебра	boolean algebra (structure)
бумеранг	boomerang
валентиниан i	valentinian i
валентиниан ii	valentinian ii
валентиниан iii	valentinian iii
водолей (созвездие)	aquarius (constellation)
евангелие от иоанна	gospel of john
евангелие от луки	gospel of luke
евангелие от марка	gospel of mark
жасмин	jasmine
индейки	turkey (bird)
история игрушек	toy story
кошка	cat
axon	аксон
allergy	аллергия
aluminium	алюминий
anemia	анемия
artery	артерия
gasoline	бензин
beryllium	бериллий
biome	биом
biosphere	биосфера
biotechnology	биотехнология
geology	геология
geomorphology	геоморфология
gravity	гравитация
blood type	группа крови
calorie	калория
coma	кома
blood	кровь
blood pressure	кровяное давление
forest	лес
arctic fox	песец
fruit	плод
alcohol	спирты
fossil	фоссилии
chemical reaction	химическая реакция
chemical element	химический элемент
chemistry	химия
cholera	холера
cholesterol	холестерин
eucalyptus	эвкалипт
ecosystem	экосистема
electric motor	электрический двигатель
electrolysis	электролиз
electron	электрон
epidemiology	эпидемиология
epilepsy	эпилепсия
anagrams	анаграмма
anachronism	анахронизм
arabic alphabet	арабское письмо
benevento	беневенто
beryl	берилл
blog	блог
boolean algebra (structure)	булева алгебра
boomerang	бумеранг
valentinian i	валентиниан i
valentinian ii	валентиниан ii
valentinian iii	валентиниан iii
aquarius (constellation)	водолей (созвездие)
gospel of john	евангелие от иоанна
gospel of luke	евангелие от луки
gospel of mark	евангелие от марка
jasmine	жасмин
turkey (bird)	индейки
toy story	история игрушек
cat	кошка
