ссылаться_VERB	refer_NOUN
сексизм_NOUN	sexist_VERB
каракорум_NOUN	karakorum_NOUN
новоселье_NOUN	housewarm_VERB
балт_NOUN	balt_NOUN
блюменфельд_NOUN	blumenfold_NOUN
категорически_ADV	categorically_ADV
выпечка_NOUN	bak_VERB
комар_NOUN	mosquito_NOUN
лицо_NOUN	individual_NOUN
подебрад_NOUN	podbrady_NOUN
поймать_VERB	catch_VERB
макдональд_NOUN	mcdonald_NOUN
уточнение_NOUN	clarify_VERB
цетина_NOUN	cetinje_NOUN
нелегально_ADV	illegally_ADV
ожидать_VERB	expect_VERB
болото_NOUN	marsh_NOUN
возбуждать_VERB	arouse_VERB
патрулирование_NOUN	patrol_VERB
чаша_NOUN	bowl_ADV
взрыв_NOUN	explosion_NOUN
регулировать_VERB	regulate_NOUN
саг_NOUN	sagami_NOUN
митчеловек_NOUN	mitchell_ADV
анархизм_NOUN	anarchism_NOUN
постановление_NOUN	ordinance_NOUN
чат_NOUN	chat_NOUN
родион_NOUN	rodion_NOUN
лат_NOUN	lat_ADV
предшествовать_VERB	precede_NOUN
промежуток_NOUN	interval_ADJ
деверо_NOUN	devereaux_NOUN
сегодня_ADV	today_ADV
ливонский_NOUN	livonian_ADJ
перфорация_NOUN	perforation_NOUN
препарат_NOUN	medication_NOUN
прямой_ADJ	direct_VERB
хлой_VERB	chloe_NOUN
мотоцикл_NOUN	motorbike_VERB
небо_NOUN	heaven_NOUN
неореализм_NOUN	neorealism_NOUN
павловск_NOUN	pavlovsk_VERB
мертенс_NOUN	merten_NOUN
усилитель_NOUN	amp_NOUN
извинение_NOUN	apology_NOUN
симс_NOUN	sim_NOUN
увольнение_NOUN	layoff_NOUN
сфатул_VERB	sfatul_ADJ
хожув_VERB	chorzw_VERB
трудиться_VERB	workers_NOUN
амнистия_NOUN	amnesty_ADV
трофей_NOUN	spoil_NOUN
геохимический_ADJ	geochemical_ADJ
миокард_NOUN	infarction_NOUN
информационный_ADJ	information_ADJ
лишение_NOUN	deprivation_NOUN
сигар_NOUN	cigar_NOUN
саль_NOUN	salem_NOUN
пмс_NOUN	icp_VERB
матть_NOUN	matti_NOUN
крепость_NOUN	fort_NOUN
женевьев_NOUN	genevieve_NOUN
социально_ADV	socially_ADV
признаться_VERB	confess_NOUN
манс_NOUN	mance_NOUN
гугенот_NOUN	huguenot_NOUN
интернировать_VERB	intern_ADJ
кырджать_VERB	kardzhali_NOUN
осень_NOUN	fall_NOUN
делиться_VERB	share_VERB
калининский_NOUN	kalininsky_ADV
эмират_NOUN	emirate_VERB
редкость_NOUN	rarity_NOUN
снятие_NOUN	withdraw_ADJ
империя_NOUN	empire_ADV
хивести_VERB	hywel_ADV
талмуда_ADV	talmud_ADV
сектор_NOUN	branch_VERB
требование_NOUN	demand_NOUN
отчуждение_NOUN	alienat_VERB
наемник_NOUN	mercenary_ADJ
канаверал_NOUN	canaveral_ADJ
выигрыш_NOUN	winning_NOUN
респига_NOUN	respighi_NOUN
разнообразный_ADJ	diverse_ADJ
венский_ADJ	viennis_VERB
мифь_NOUN	mephi_NOUN
подражатель_NOUN	copycat_NOUN
таймс_NOUN	time_NOUN
дефицит_NOUN	deficit_NOUN
централизация_NOUN	centralize_NOUN
кабинет_NOUN	office_ADV
магеллан_NOUN	magellan_NOUN
дольный_ADJ	dolny_ADV
масай_NOUN	maasai_NOUN
мощный_ADJ	powerful_ADJ
бумага_NOUN	paper_NOUN
роуз_NOUN	rise_VERB
консультант_NOUN	consultan_ADJ
сало_VERB	lard_ADV
ухаживание_NOUN	court_VERB
диагностика_NOUN	diagnostic_ADJ
богиня_NOUN	goddess_NOUN
дарье_NOUN	darrieux_NOUN
амарать_NOUN	amaral_ADJ
выразить_VERB	voice_VERB
комменж_NOUN	comminge_NOUN
эквадор_NOUN	ecuadorian_ADJ
кэсси_NOUN	cassie_NOUN
замедлиться_VERB	slow_VERB
стоянка_NOUN	park_VERB
чет_NOUN	chet_VERB
триада_NOUN	triad_NOUN
вывод_NOUN	conclusion_NOUN
