1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
1	dialogue_2005_aa8b48e4d50e38cab8c80dd71d5734485cb0846d	ru	0.9870830774307251	http://www.dialog-21.ru/media/2427/sokolova-boldasov3.pdf
2	dialogue_2005_67bd4e3578f0c09bcd42f2bf13357458b058ae6b	ru	0.9863628149032593	http://www.dialog-21.ru/media/2391/kozerenko-e.pdf
3	aist_2013_b71d0656a3a557fad10c3fdd21170cedd8a779bf	ru	0.9862736463546753	http://legacy.aistconf.org/stuff/aist2013.pdf
4	dialogue_2004_9a6ae04ed899d810149ad05dcfb19b5410b81948	ru	0.9849981069564819	http://www.dialog-21.ru/media/2495/boldasov.pdf
5	dialogue_2003_e6accc639be06ee0e5f150c5b5b106381fba1d5e	ru	0.9849178791046143	http://www.dialog-21.ru/media/2598/afanisjev.pdf
6	dialogue_2004_c0a72ca836616cf11818e91f3ab4d2d12d197796	ru	0.9848634004592896	http://www.dialog-21.ru/media/2570/sokolova.pdf
7	dialogue_2003_1fd56eb798725e65c193221e38e7b70cb7c7c3d0	ru	0.9841040372848511	http://www.dialog-21.ru/media/2610/boldasov.pdf
8	aist_2012_f67ff209fe8e571ff53348e6efe9120890ecb9f9	ru	0.9839925765991211	http://persons.it-claim.ru/PavelRomanov/aist-camera-final.pdf
9	dialogue_2000_553f06d24c07465d7814642237e2bbb1380f0ab8	ru	0.9839718341827393	http://www.dialog-21.ru/digest/2000/articles/sokolova/
10	dialogue_2002_b43489a3c19b7d8047e61104468bdca4688551d2	ru	0.9838035702705383	http://www.dialog-21.ru/digest/2002/articles/demin/

2. 	dialogue_2000_d779021b5cfc493595763bb6c4c3574894e715a9	ru	http://www.dialog-21.ru/digest/2000/articles/borisova/
1	dialogue_2000_fb13a686c835b566e6b030de601c25cd9d029a03	ru	0.9909681677818298	http://www.dialog-21.ru/digest/2000/articles/loutikova/
2	dialogue_2013_9e07db0858cc736b01bb291c7e3e2eeea4eec57e	ru	0.9901667833328247	http://www.dialog-21.ru/media/1219/alpatovvm.pdf
3	dialogue_2003_7530c233ee5aae52940b95033cca5be71580ef85	ru	0.9898051619529724	http://www.dialog-21.ru/media/2612/borisova.pdf
4	dialogue_2006_5b74294f357c4348e29540ce173f25171bdecde4	ru	0.9894520044326782	http://www.dialog-21.ru/media/1964/kopotev.pdf
5	dialogue_2006_e489d0ae60ac3ad7bb4f37e8a5ad1aa30fe233ec	ru	0.9887772798538208	http://www.dialog-21.ru/media/1994/percov.pdf
6	dialogue_2001_5efd5f54c9b9189e389321b1aeddd62659fe47a8	ru	0.9885648488998413	http://www.dialog-21.ru/digest/2001/articles/leontyeva/
7	dialogue_2001_f9408ada15c5c57434555862c64d957fd1d8a290	ru	0.9880033135414124	http://www.dialog-21.ru/digest/2001/articles/borisova/
8	dialogue_2007_6a554d52731460b4bc4af6f33d700ea53a2f633c	ru	0.9879809617996216	http://www.dialog-21.ru/media/1848/27.pdf
9	dialogue_2000_e77432c4b1eb8ace8e6805a7607cd573c8e97ef0	ru	0.9873400330543518	http://www.dialog-21.ru/digest/2000/articles/parshin/
10	dialogue_2003_5ac1f824bcdd4df25aeaf5cda8bd1bef09b9c5bc	ru	0.986931562423706	http://www.dialog-21.ru/media/2685/semenova.pdf

3. 	dialogue_2000_36d974d4d7e5f5c5dad83e90551a821a0a2c9f3e	ru	http://www.dialog-21.ru/digest/2000/articles/ryabtseva/
1	dialogue_2002_c3936ad5677e01d1d42185af3bdf802bcce54fa9	ru	0.9938355088233948	http://www.dialog-21.ru/digest/2002/articles/ryabtseva/
2	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.9901332855224609	http://www.dialog-21.ru/media/2642/kobozeva.pdf
3	dialogue_2001_1e8ea9cca9a7b84341d7c27f80ff5ef7ac8a9985	ru	0.9893180131912231	http://www.dialog-21.ru/digest/2001/articles/kozerenko/
4	dialogue_2002_c892d983251fd4a9aaaa9d3823fd1f5c47efa736	ru	0.9887492656707764	http://www.dialog-21.ru/digest/2002/articles/zaretskaya/
