1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Дистрибутивная_семантика(0.7695256471633911)|TASK::Морфологический_анализ(0.7519286870956421)|TASK::Тематическое_моделирование(0.7376287579536438)|TASK::Синтаксический_анализ(0.7299620509147644)|TASK::Извлечение_именованных_сущностей(0.7231369614601135)|TASK::Cегментация_текста(0.7119397521018982)|TASK::Проверка_правописания(0.7049193978309631)
1	dialogue_2004_c0a72ca836616cf11818e91f3ab4d2d12d197796	ru	0.9878814220428467	Автоматическая Генерация Текстов на Ея (Портрет Направления)	http://www.dialog-21.ru/media/2570/sokolova.pdf	TASK::Дистрибутивная_семантика(0.7505338191986084)|TASK::Морфологический_анализ(0.7504357695579529)|TASK::Тематическое_моделирование(0.7336815595626831)|TASK::Извлечение_именованных_сущностей(0.7209784984588623)|TASK::Cегментация_текста(0.7157238125801086)|TASK::Синтаксический_анализ(0.7060652375221252)|TASK::Проверка_правописания(0.7007952928543091)
2	dialogue_2009_c692fba016a4f21ad2ca1583b3fce5f2fbc49bbf	ru	0.9862858057022095	Построение Концептуальных Графов как Элементов Семантической Разметки Текстов	http://www.dialog-21.ru/media/1556/06.pdf	TASK::Дистрибутивная_семантика(0.7576699256896973)|TASK::Тематическое_моделирование(0.7431389093399048)|TASK::Морфологический_анализ(0.7306692600250244)|TASK::Извлечение_именованных_сущностей(0.7145755290985107)|TASK::Синтаксический_анализ(0.7031040787696838)
3	dialogue_2004_9a6ae04ed899d810149ad05dcfb19b5410b81948	ru	0.9856839179992676	Разработка Прикладных Систем Генерации Типовых Текстов на Ея на Основе Представления Информации на Языке Xml	http://www.dialog-21.ru/media/2495/boldasov.pdf	TASK::Дистрибутивная_семантика(0.7609347105026245)|TASK::Морфологический_анализ(0.7514316439628601)|TASK::Синтаксический_анализ(0.7389888763427734)|TASK::Тематическое_моделирование(0.7328389883041382)|TASK::Извлечение_именованных_сущностей(0.7163600921630859)|TASK::Проверка_правописания(0.7134423851966858)|TASK::Cегментация_текста(0.7102670073509216)|TASK::Конечные_преобразователи(0.7013771533966064)
4	dialogue_2010_31de5df62927b731f2bd1fd8447c407461da3107	ru	0.985309362411499	Язык Описания Правил в Системе Лексического Анализа Ея-текстов Dictascope Tokenizer	http://www.dialog-21.ru/media/1692/67.pdf	TASK::Морфологический_анализ(0.7588971853256226)|TASK::Дистрибутивная_семантика(0.755317747592926)|TASK::Извлечение_именованных_сущностей(0.7308562994003296)|TASK::Проверка_правописания(0.7252762913703918)|TASK::Тематическое_моделирование(0.7185987234115601)|TASK::Синтаксический_анализ(0.7119792699813843)
5	dialogue_2005_d1b85a36c684eecf82e8fdcfd16cbb24f87337ff	ru	0.9850276708602905	Система “Ontogrid” для Построения Онтологий	http://www.dialog-21.ru/media/2437/zagoruykong.pdf	TASK::Дистрибутивная_семантика(0.7668482065200806)|TASK::Тематическое_моделирование(0.757510244846344)|TASK::Морфологический_анализ(0.7485191226005554)|TASK::Извлечение_именованных_сущностей(0.7296841144561768)|TASK::Cегментация_текста(0.7181844115257263)|TASK::Информационный_поиск(0.7056584358215332)|TASK::Синтаксический_анализ(0.7034258246421814)
6	dialogue_2002_6ceb561d3e45ab6fbe101c9133078d6e6ee16363	ru	0.9847394824028015	Семантический Поиск Научной Информации: Неоднородные Коммуникативные Компоненты и Цветовая Палитра Объектов Поиска	http://www.dialog-21.ru/digest/2002/articles/zatsman/	TASK::Дистрибутивная_семантика(0.7698991894721985)|TASK::Морфологический_анализ(0.7652263641357422)|TASK::Извлечение_именованных_сущностей(0.7392734289169312)|TASK::Тематическое_моделирование(0.7329767346382141)|TASK::Синтаксический_анализ(0.7065234780311584)
7	dialogue_2010_dca2b6eaf2e71a8e74a4f339568a95b543a6dcce	ru	0.984661877155304	Эволюция Лингво-семантических Представлений в Интеллектуальных Системах на Основе Расширенных Семантических Сетей	http://www.dialog-21.ru/media/1658/33.pdf	TASK::Дистрибутивная_семантика(0.7743014693260193)|TASK::Морфологический_анализ(0.764358639717102)|TASK::Тематическое_моделирование(0.7545644640922546)|TASK::Извлечение_именованных_сущностей(0.7423608899116516)|TASK::Синтаксический_анализ(0.7178767919540405)|TASK::Языковые_модели(0.7175858020782471)
8	dialogue_2003_7d9f139fb2fb787e4ea694a5c520957a626eb050	ru	0.9844112992286682	Синтез Текстовой Информации на Английском Языке при Решении Задач Дистанционного Обучения Иностранному Языку с Использованием Объектного Подхода.	http://www.dialog-21.ru/media/2652/krapuhina.pdf	TASK::Дистрибутивная_семантика(0.7685689926147461)|TASK::Тематическое_моделирование(0.7463572025299072)|TASK::Морфологический_анализ(0.7419904470443726)|TASK::Извлечение_именованных_сущностей(0.7361038327217102)|TASK::Синтаксический_анализ(0.7216408252716064)|TASK::Cегментация_текста(0.7031313180923462)
9	dialogue_2000_5d199200b1a31a0e92d8e1a96aa713c4f277f12c	ru	0.9841505289077759	Лингвистические Оболочки: Конструктивный Подход к Развитию Технологии Управления Знаниями	http://www.dialog-21.ru/digest/2000/articles/kozerenko/	TASK::Дистрибутивная_семантика(0.7633775472640991)|TASK::Морфологический_анализ(0.7487943172454834)|TASK::Тематическое_моделирование(0.7471482753753662)|TASK::Извлечение_именованных_сущностей(0.7368184924125671)|TASK::Синтаксический_анализ(0.7163585424423218)|TASK::Проверка_правописания(0.7019078731536865)
10	dialogue_2005_aa8b48e4d50e38cab8c80dd71d5734485cb0846d	ru	0.9840290546417236	Планирование Текстов в Системах Генерации на Естественном Языке	http://www.dialog-21.ru/media/2427/sokolova-boldasov3.pdf	TASK::Дистрибутивная_семантика(0.7341666221618652)|TASK::Морфологический_анализ(0.7271316647529602)|TASK::Извлечение_именованных_сущностей(0.7210080623626709)|TASK::Тематическое_моделирование(0.7153514623641968)
