1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Тематическое_моделирование(0.7382532358169556)|TASK::Извлечение_именованных_сущностей(0.724492073059082)|TASK::Cегментация_текста(0.7132718563079834)|TASK::Дистрибутивная_семантика(0.7104436159133911)
1	dialogue_2004_c0a72ca836616cf11818e91f3ab4d2d12d197796	ru	0.9863122701644897	Автоматическая Генерация Текстов на Ея (Портрет Направления)	http://www.dialog-21.ru/media/2570/sokolova.pdf	TASK::Тематическое_моделирование(0.7354485988616943)|TASK::Извлечение_именованных_сущностей(0.7219859957695007)|TASK::Cегментация_текста(0.7178158760070801)
2	dialogue_2009_c692fba016a4f21ad2ca1583b3fce5f2fbc49bbf	ru	0.985264778137207	Построение Концептуальных Графов как Элементов Семантической Разметки Текстов	http://www.dialog-21.ru/media/1556/06.pdf	TASK::Тематическое_моделирование(0.7431221008300781)|TASK::Извлечение_именованных_сущностей(0.7137881517410278)|TASK::Дистрибутивная_семантика(0.7011129856109619)
3	dialogue_2005_d1b85a36c684eecf82e8fdcfd16cbb24f87337ff	ru	0.9848616123199463	Система “Ontogrid” для Построения Онтологий	http://www.dialog-21.ru/media/2437/zagoruykong.pdf	TASK::Тематическое_моделирование(0.7573922872543335)|TASK::Извлечение_именованных_сущностей(0.7293024063110352)|TASK::Cегментация_текста(0.7184218168258667)|TASK::Дистрибутивная_семантика(0.7163358330726624)|TASK::Информационный_поиск(0.7064609527587891)
4	dialogue_2004_9a6ae04ed899d810149ad05dcfb19b5410b81948	ru	0.9847785234451294	Разработка Прикладных Систем Генерации Типовых Текстов на Ея на Основе Представления Информации на Языке Xml	http://www.dialog-21.ru/media/2495/boldasov.pdf	TASK::Тематическое_моделирование(0.7324506044387817)|TASK::Извлечение_именованных_сущностей(0.7159541845321655)|TASK::Cегментация_текста(0.7105432748794556)|TASK::Дистрибутивная_семантика(0.7084099650382996)|TASK::Конечные_преобразователи(0.702917218208313)
5	dialogue_2003_7d9f139fb2fb787e4ea694a5c520957a626eb050	ru	0.9847034215927124	Синтез Текстовой Информации на Английском Языке при Решении Задач Дистанционного Обучения Иностранному Языку с Использованием Объектного Подхода.	http://www.dialog-21.ru/media/2652/krapuhina.pdf	TASK::Тематическое_моделирование(0.7459079623222351)|TASK::Извлечение_именованных_сущностей(0.7357265949249268)|TASK::Дистрибутивная_семантика(0.7183208465576172)|TASK::Cегментация_текста(0.7029829621315002)
6	dialogue_2010_31de5df62927b731f2bd1fd8447c407461da3107	ru	0.9841784238815308	Язык Описания Правил в Системе Лексического Анализа Ея-текстов Dictascope Tokenizer	http://www.dialog-21.ru/media/1692/67.pdf	TASK::Извлечение_именованных_сущностей(0.7307593822479248)|TASK::Тематическое_моделирование(0.7188371419906616)
7	dialogue_2010_dca2b6eaf2e71a8e74a4f339568a95b543a6dcce	ru	0.9838114976882935	Эволюция Лингво-семантических Представлений в Интеллектуальных Системах на Основе Расширенных Семантических Сетей	http://www.dialog-21.ru/media/1658/33.pdf	TASK::Тематическое_моделирование(0.7548679113388062)|TASK::Извлечение_именованных_сущностей(0.743139386177063)|TASK::Дистрибутивная_семантика(0.7220195531845093)|TASK::Языковые_модели(0.7166465520858765)
8	dialogue_2000_eac2e718834af441601a1fa42b44fb7aa8f44b78	ru	0.9831789135932922	Semp-l — Программная Средадля Создания Лингвистических Проектов	http://www.dialog-21.ru/digest/2000/articles/zagorulko/	TASK::Тематическое_моделирование(0.749801754951477)|TASK::Извлечение_именованных_сущностей(0.7265263795852661)|TASK::Cегментация_текста(0.7216174602508545)|TASK::Дистрибутивная_семантика(0.7195025682449341)|TASK::Информационный_поиск(0.7033071517944336)
9	dialogue_2000_5d199200b1a31a0e92d8e1a96aa713c4f277f12c	ru	0.9828897714614868	Лингвистические Оболочки: Конструктивный Подход к Развитию Технологии Управления Знаниями	http://www.dialog-21.ru/digest/2000/articles/kozerenko/	TASK::Тематическое_моделирование(0.747168779373169)|TASK::Извлечение_именованных_сущностей(0.7373827695846558)|TASK::Дистрибутивная_семантика(0.7067829370498657)
10	dialogue_2005_aa8b48e4d50e38cab8c80dd71d5734485cb0846d	ru	0.98243647813797	Планирование Текстов в Системах Генерации на Естественном Языке	http://www.dialog-21.ru/media/2427/sokolova-boldasov3.pdf	TASK::Извлечение_именованных_сущностей(0.7230124473571777)|TASK::Тематическое_моделирование(0.7161818146705627)

2.		dialogue_2000_d779021b5cfc493595763bb6c4c3574894e715a9	ru	Основные Параметры Прикладного Направления «Педагогическая Лингвистика»	http://www.dialog-21.ru/digest/2000/articles/borisova/	TASK::Извлечение_именованных_сущностей(0.7267042398452759)|TASK::Тематическое_моделирование(0.71541827917099)
1	dialogue_2013_9e07db0858cc736b01bb291c7e3e2eeea4eec57e	ru	0.9879419207572937	Александр Евгеньевич Кибрик: от Структурализма к Новым Идеям	http://www.dialog-21.ru/media/1219/alpatovvm.pdf	TASK::Извлечение_именованных_сущностей(0.7101735472679138)|TASK::Тематическое_моделирование(0.7061974406242371)
2	dialogue_2000_fb13a686c835b566e6b030de601c25cd9d029a03	ru	0.9878770709037781	Теория, Описание, Приложение: Полемика и Диалог	http://www.dialog-21.ru/digest/2000/articles/loutikova/	TASK::Извлечение_именованных_сущностей(0.7111608386039734)|TASK::Тематическое_моделирование(0.7057198286056519)
3	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.983640193939209	К Распознаванию Интенционального Компонента Смысла Высказывания (Теоретические Предпосылки)	http://www.dialog-21.ru/media/2642/kobozeva.pdf	TASK::Извлечение_именованных_сущностей(0.7408585548400879)|TASK::Тематическое_моделирование(0.7147773504257202)|TASK::Анализ_тональности(0.7006984949111938)
4	dialogue_2003_7530c233ee5aae52940b95033cca5be71580ef85	ru	0.983289361000061	Понимание Естественного Текста в Свете Теории Информации	http://www.dialog-21.ru/media/2612/borisova.pdf	TASK::Извлечение_именованных_сущностей(0.7367350459098816)|TASK::Тематическое_моделирование(0.7192948460578918)
5	dialogue_2003_69321ba7a0eaf7a302ca7e0a315d0df584af685d	ru	0.9831327199935913	Моделирование Языковых Структур со Значением Условия и Причины для Англо-русского Лингвистического Процессора	http://www.dialog-21.ru/media/2649/kozerenko.pdf	TASK::Извлечение_именованных_сущностей(0.7278386354446411)|TASK::Тематическое_моделирование(0.7033360004425049)
6	dialogue_2006_5b74294f357c4348e29540ce173f25171bdecde4	ru	0.9831125736236572	Принципы Синтаксической Разметки Хельсинкского Аннотированного Корпуса Русских Текстов Ханко	http://www.dialog-21.ru/media/1964/kopotev.pdf	TASK::Извлечение_именованных_сущностей(0.7038900256156921)
7	dialogue_2006_e489d0ae60ac3ad7bb4f37e8a5ad1aa30fe233ec	ru	0.9824409484863281	К Проблеме Построения Семантического Метаязыка	http://www.dialog-21.ru/media/1994/percov.pdf	TASK::Извлечение_именованных_сущностей(0.7183243036270142)|TASK::Тематическое_моделирование(0.7112772464752197)
8	dialogue_2002_091540154163c30168b3b3787c2cfd91786a965f	ru	0.9822887778282166	Функциональная Семантика в Компьютерных Решениях	http://www.dialog-21.ru/digest/2002/articles/kozerenko/	TASK::Извлечение_именованных_сущностей(0.7379407286643982)|TASK::Тематическое_моделирование(0.729711651802063)|TASK::Дистрибутивная_семантика(0.7243912816047668)|TASK::Языковые_модели(0.7075566649436951)
9	dialogue_2002_9eb223132594ba9ead594bfdf53f0e7f497a5c21	ru	0.982101559638977	Формализуемые Аспекты Неудачи в Понимании Текста	http://www.dialog-21.ru/digest/2002/articles/borisova/	TASK::Извлечение_именованных_сущностей(0.7139810919761658)
10	dialogue_2001_6ec50ef8ede1cd5c279f2b1297f8431343df74c2	ru	0.9817966818809509	Возможный Подход к Универсализации Модели “Смысл <-> Текст”	http://www.dialog-21.ru/digest/2001/articles/solovyev/	TASK::Тематическое_моделирование(0.7276611328125)|TASK::Извлечение_именованных_сущностей(0.7252057790756226)|TASK::Дистрибутивная_семантика(0.7128041386604309)

3.		dialogue_2000_36d974d4d7e5f5c5dad83e90551a821a0a2c9f3e	ru	Ментальная Лексика, Когнитивная Лингвистика и Антропоцентричность Языка*	http://www.dialog-21.ru/digest/2000/articles/ryabtseva/	TASK::Извлечение_именованных_сущностей(0.7240735292434692)|TASK::Тематическое_моделирование(0.7002170085906982)
1	dialogue_2002_c3936ad5677e01d1d42185af3bdf802bcce54fa9	ru	0.9918839335441589	Дискурсивное Vs. Недискурсивное Знание: Проблемы Описания	http://www.dialog-21.ru/digest/2002/articles/ryabtseva/	TASK::Извлечение_именованных_сущностей(0.7292730808258057)
2	dialogue_2002_c4c0f63feb5ca3438ecd8cbc84280e5d5eb733db	ru	0.98780757188797	Метафорическая Концептуализация Сознания в Русском и Английском Языках	http://www.dialog-21.ru/digest/2002/articles/novoselova/	TASK::Извлечение_именованных_сущностей(0.7333939075469971)
