1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
1	dialogue_2005_aa8b48e4d50e38cab8c80dd71d5734485cb0846d	ru	0.9875497221946716	http://www.dialog-21.ru/media/2427/sokolova-boldasov3.pdf
2	dialogue_2004_9a6ae04ed899d810149ad05dcfb19b5410b81948	ru	0.9873257279396057	http://www.dialog-21.ru/media/2495/boldasov.pdf
3	dialogue_2003_e6accc639be06ee0e5f150c5b5b106381fba1d5e	ru	0.9865648746490479	http://www.dialog-21.ru/media/2598/afanisjev.pdf
4	dialogue_2005_10ab5d943b7e855ef4bd74675cab118239e5d463	ru	0.985811710357666	http://www.dialog-21.ru/media/2396/kuznetsov.pdf
5	dialogue_2003_efdaa7e1d4ab6cb6b467a86928729e4dfb5fa756	ru	0.9850656986236572	http://www.dialog-21.ru/media/2699/volkova.pdf
6	dialogue_2002_6ceb561d3e45ab6fbe101c9133078d6e6ee16363	ru	0.9850529432296753	http://www.dialog-21.ru/digest/2002/articles/zatsman/
7	dialogue_2003_1fd56eb798725e65c193221e38e7b70cb7c7c3d0	ru	0.9840908050537109	http://www.dialog-21.ru/media/2610/boldasov.pdf
8	dialogue_2002_b43489a3c19b7d8047e61104468bdca4688551d2	ru	0.9838058948516846	http://www.dialog-21.ru/digest/2002/articles/demin/
9	dialogue_2002_763613e1c829e34faf3baa20280baaee78d1ff0f	ru	0.983627438545227	http://www.dialog-21.ru/digest/2002/articles/antropova/
10	dialogue_2013_c583511eaf4b137c9f14af2f0ed3fe24b815dea8	ru	0.9830780029296875	http://www.dialog-21.ru/media/1220/antonovaaj.pdf

2. 	dialogue_2000_d779021b5cfc493595763bb6c4c3574894e715a9	ru	http://www.dialog-21.ru/digest/2000/articles/borisova/
1	dialogue_2006_e489d0ae60ac3ad7bb4f37e8a5ad1aa30fe233ec	ru	0.9885225892066956	http://www.dialog-21.ru/media/1994/percov.pdf
2	dialogue_2003_3f014a74453fdf5c9aeec75b1757515d1135b9e0	ru	0.9882296323776245	http://www.dialog-21.ru/media/2642/kobozeva.pdf
3	dialogue_2006_5b74294f357c4348e29540ce173f25171bdecde4	ru	0.9879233837127686	http://www.dialog-21.ru/media/1964/kopotev.pdf
4	dialogue_2003_7530c233ee5aae52940b95033cca5be71580ef85	ru	0.9873529076576233	http://www.dialog-21.ru/media/2612/borisova.pdf
