1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Дистрибутивная_семантика(0.8309836983680725)|TASK::Морфологический_анализ(0.8243863582611084)|TASK::Построение_конкордансов(0.8214727640151978)|TASK::Автоматическое_реферирование(0.7756644487380981)|TASK::Синтаксический_анализ(0.7748113870620728)|TASK::Конечные_преобразователи(0.7497396469116211)|TASK::Языковые_модели(0.7393910884857178)|TASK::Тематическое_моделирование(0.738929271697998)|TASK::Извлечение_именованных_сущностей(0.7379180192947388)|TASK::Извлечение_ключевых_слов(0.7203729748725891)|TASK::Обработка_речи(0.7095963954925537)|TASK::Обнаружение_дубликатов(0.7025851011276245)
1	dialogue_2004_c0a72ca836616cf11818e91f3ab4d2d12d197796	ru	0.988740861415863	Автоматическая Генерация Текстов на Ея (Портрет Направления)	http://www.dialog-21.ru/media/2570/sokolova.pdf	TASK::Построение_конкордансов(0.8290133476257324)|TASK::Морфологический_анализ(0.8163323402404785)|TASK::Дистрибутивная_семантика(0.8100091218948364)|TASK::Автоматическое_реферирование(0.7834656238555908)|TASK::Синтаксический_анализ(0.75570148229599)|TASK::Тематическое_моделирование(0.7483735084533691)|TASK::Конечные_преобразователи(0.7464287281036377)|TASK::Извлечение_именованных_сущностей(0.7348352670669556)|TASK::Языковые_модели(0.7309933304786682)|TASK::Обработка_речи(0.7092851400375366)|TASK::Извлечение_ключевых_слов(0.7047040462493896)|TASK::Информационный_поиск(0.7040269374847412)
2	dialogue_2004_9a6ae04ed899d810149ad05dcfb19b5410b81948	ru	0.9875184893608093	Разработка Прикладных Систем Генерации Типовых Текстов на Ея на Основе Представления Информации на Языке Xml	http://www.dialog-21.ru/media/2495/boldasov.pdf	TASK::Морфологический_анализ(0.8380652666091919)|TASK::Дистрибутивная_семантика(0.8294631242752075)|TASK::Построение_конкордансов(0.8209598064422607)|TASK::Синтаксический_анализ(0.7920639514923096)|TASK::Автоматическое_реферирование(0.7765885591506958)|TASK::Конечные_преобразователи(0.7661352753639221)|TASK::Языковые_модели(0.7489720582962036)|TASK::Тематическое_моделирование(0.739334225654602)|TASK::Извлечение_именованных_сущностей(0.733611524105072)|TASK::Обработка_речи(0.7214836478233337)|TASK::Извлечение_ключевых_слов(0.7162865400314331)|TASK::Проверка_правописания(0.7038503885269165)
3	dialogue_2010_31de5df62927b731f2bd1fd8447c407461da3107	ru	0.9862247705459595	Язык Описания Правил в Системе Лексического Анализа Ея-текстов Dictascope Tokenizer	http://www.dialog-21.ru/media/1692/67.pdf	TASK::Морфологический_анализ(0.8380990028381348)|TASK::Построение_конкордансов(0.832627534866333)|TASK::Дистрибутивная_семантика(0.8190460205078125)|TASK::Автоматическое_реферирование(0.7832067012786865)|TASK::Синтаксический_анализ(0.7721655964851379)|TASK::Извлечение_именованных_сущностей(0.7439568042755127)|TASK::Конечные_преобразователи(0.740921676158905)|TASK::Тематическое_моделирование(0.739703893661499)|TASK::Языковые_модели(0.726516842842102)|TASK::Проверка_правописания(0.7216916084289551)|TASK::Обработка_речи(0.715423583984375)|TASK::Извлечение_ключевых_слов(0.7147112488746643)|TASK::Обнаружение_дубликатов(0.7069922089576721)
4	dialogue_2003_1fd56eb798725e65c193221e38e7b70cb7c7c3d0	ru	0.9858916401863098	Парадигмы Генерации Ея Текстов в Инструментальной Среде Demling	http://www.dialog-21.ru/media/2610/boldasov.pdf	TASK::Морфологический_анализ(0.8409000635147095)|TASK::Дистрибутивная_семантика(0.8307771682739258)|TASK::Построение_конкордансов(0.8202022314071655)|TASK::Синтаксический_анализ(0.7820138931274414)|TASK::Автоматическое_реферирование(0.7744038105010986)|TASK::Конечные_преобразователи(0.7644239664077759)|TASK::Языковые_модели(0.7493377923965454)|TASK::Извлечение_именованных_сущностей(0.7473958134651184)|TASK::Тематическое_моделирование(0.7401736974716187)|TASK::Извлечение_ключевых_слов(0.7192133665084839)|TASK::Обработка_речи(0.7117362022399902)|TASK::Cегментация_текста(0.7017374038696289)
5	dialogue_2009_c692fba016a4f21ad2ca1583b3fce5f2fbc49bbf	ru	0.9854627251625061	Построение Концептуальных Графов как Элементов Семантической Разметки Текстов	http://www.dialog-21.ru/media/1556/06.pdf	TASK::Дистрибутивная_семантика(0.8377259969711304)|TASK::Построение_конкордансов(0.8258886933326721)|TASK::Морфологический_анализ(0.8111671209335327)|TASK::Автоматическое_реферирование(0.787299633026123)|TASK::Синтаксический_анализ(0.7703943252563477)|TASK::Тематическое_моделирование(0.7596258521080017)|TASK::Конечные_преобразователи(0.7473586797714233)|TASK::Извлечение_именованных_сущностей(0.7391328811645508)|TASK::Языковые_модели(0.7377545237541199)|TASK::Извлечение_ключевых_слов(0.7169649600982666)|TASK::Информационный_поиск(0.7008147239685059)
6	dialogue_2003_7d9f139fb2fb787e4ea694a5c520957a626eb050	ru	0.9854610562324524	Синтез Текстовой Информации на Английском Языке при Решении Задач Дистанционного Обучения Иностранному Языку с Использованием Объектного Подхода.	http://www.dialog-21.ru/media/2652/krapuhina.pdf	TASK::Дистрибутивная_семантика(0.8383768796920776)|TASK::Морфологический_анализ(0.8305886387825012)|TASK::Построение_конкордансов(0.8230706453323364)|TASK::Синтаксический_анализ(0.7812177538871765)|TASK::Автоматическое_реферирование(0.7765908241271973)|TASK::Конечные_преобразователи(0.7619307041168213)|TASK::Тематическое_моделирование(0.7586625814437866)|TASK::Языковые_модели(0.7538478970527649)|TASK::Извлечение_именованных_сущностей(0.740537166595459)|TASK::Извлечение_ключевых_слов(0.7245724201202393)|TASK::Обработка_речи(0.7225521802902222)|TASK::Информационный_поиск(0.7139858603477478)|TASK::Обнаружение_дубликатов(0.7068763971328735)
7	dialogue_2006_9c82f585a80df33a9636f0a7c9cb81b7c8824e8b	ru	0.9850597381591797	Семантический Подход к Анализу Документов на Основе Онтологии Предметной Области	http://www.dialog-21.ru/media/2003/sidorovae.pdf	TASK::Дистрибутивная_семантика(0.8287398219108582)|TASK::Морфологический_анализ(0.8281141519546509)|TASK::Построение_конкордансов(0.8274885416030884)|TASK::Автоматическое_реферирование(0.7915034294128418)|TASK::Синтаксический_анализ(0.773449182510376)|TASK::Конечные_преобразователи(0.7548159956932068)|TASK::Тематическое_моделирование(0.754754364490509)|TASK::Извлечение_именованных_сущностей(0.7445724010467529)|TASK::Языковые_модели(0.7270016670227051)|TASK::Извлечение_ключевых_слов(0.7221776843070984)|TASK::Информационный_поиск(0.7134243249893188)|TASK::Обнаружение_дубликатов(0.7118185758590698)
8	dialogue_2004_36c12d6180598d826a129deca0bec886138bb611	ru	0.9849634170532227	Инструментальная Среда для Экспериментов с Алгоритмами Поверхностно-синтаксического Анализа	http://www.dialog-21.ru/media/2490/batalina.pdf	TASK::Дистрибутивная_семантика(0.8332933187484741)|TASK::Морфологический_анализ(0.8289988040924072)|TASK::Построение_конкордансов(0.8089079856872559)|TASK::Синтаксический_анализ(0.7705464363098145)|TASK::Автоматическое_реферирование(0.7646403312683105)|TASK::Конечные_преобразователи(0.7598721385002136)|TASK::Извлечение_именованных_сущностей(0.7485905289649963)|TASK::Языковые_модели(0.7342067956924438)|TASK::Тематическое_моделирование(0.7334699630737305)|TASK::Извлечение_ключевых_слов(0.7110635042190552)
9	dialogue_2005_aa8b48e4d50e38cab8c80dd71d5734485cb0846d	ru	0.9848462343215942	Планирование Текстов в Системах Генерации на Естественном Языке	http://www.dialog-21.ru/media/2427/sokolova-boldasov3.pdf	TASK::Построение_конкордансов(0.8140716552734375)|TASK::Дистрибутивная_семантика(0.8021339178085327)|TASK::Морфологический_анализ(0.7966355085372925)|TASK::Автоматическое_реферирование(0.7710591554641724)|TASK::Синтаксический_анализ(0.7407382130622864)|TASK::Извлечение_именованных_сущностей(0.7364228963851929)|TASK::Тематическое_моделирование(0.7345936894416809)|TASK::Конечные_преобразователи(0.7328460216522217)|TASK::Языковые_модели(0.7059720754623413)
10	dialogue_2005_d1b85a36c684eecf82e8fdcfd16cbb24f87337ff	ru	0.9846189022064209	Система “Ontogrid” для Построения Онтологий	http://www.dialog-21.ru/media/2437/zagoruykong.pdf	TASK::Построение_конкордансов(0.8402367830276489)|TASK::Дистрибутивная_семантика(0.8278367519378662)|TASK::Морфологический_анализ(0.8273946046829224)|TASK::Автоматическое_реферирование(0.7913596630096436)|TASK::Синтаксический_анализ(0.7646176218986511)|TASK::Тематическое_моделирование(0.762894868850708)|TASK::Извлечение_именованных_сущностей(0.7498955726623535)|TASK::Конечные_преобразователи(0.7473325729370117)|TASK::Языковые_модели(0.7441558241844177)|TASK::Извлечение_ключевых_слов(0.7219810485839844)|TASK::Информационный_поиск(0.7164086103439331)|TASK::Обработка_речи(0.7087481617927551)|TASK::Обнаружение_дубликатов(0.7029287815093994)
