1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Дистрибутивная_семантика(0.755886971950531)|TASK::Конечные_преобразователи(0.7476552724838257)|TASK::Языковые_модели(0.7371660470962524)|TASK::Тематическое_моделирование(0.7356764674186707)|TASK::Извлечение_именованных_сущностей(0.733953595161438)|TASK::Извлечение_ключевых_слов(0.7184091806411743)|TASK::Обработка_речи(0.7108583450317383)|TASK::Обнаружение_дубликатов(0.7020483016967773)
1	dialogue_2004_c0a72ca836616cf11818e91f3ab4d2d12d197796	ru	0.9875462055206299	Автоматическая Генерация Текстов на Ея (Портрет Направления)	http://www.dialog-21.ru/media/2570/sokolova.pdf	TASK::Тематическое_моделирование(0.748796820640564)|TASK::Конечные_преобразователи(0.7453020215034485)|TASK::Дистрибутивная_семантика(0.7337177991867065)|TASK::Извлечение_именованных_сущностей(0.7332950830459595)|TASK::Языковые_модели(0.7307416796684265)|TASK::Обработка_речи(0.7068971395492554)|TASK::Информационный_поиск(0.7065004110336304)|TASK::Извлечение_ключевых_слов(0.7049148082733154)
2	dialogue_2004_9a6ae04ed899d810149ad05dcfb19b5410b81948	ru	0.9861682653427124	Разработка Прикладных Систем Генерации Типовых Текстов на Ея на Основе Представления Информации на Языке Xml	http://www.dialog-21.ru/media/2495/boldasov.pdf	TASK::Конечные_преобразователи(0.7659030556678772)|TASK::Дистрибутивная_семантика(0.7576159238815308)|TASK::Языковые_модели(0.7494723796844482)|TASK::Тематическое_моделирование(0.7396972179412842)|TASK::Извлечение_именованных_сущностей(0.7330090403556824)|TASK::Обработка_речи(0.7210243940353394)|TASK::Извлечение_ключевых_слов(0.7162324786186218)|TASK::Синтаксический_анализ(0.7014609575271606)
3	dialogue_2010_31de5df62927b731f2bd1fd8447c407461da3107	ru	0.9845949411392212	Язык Описания Правил в Системе Лексического Анализа Ея-текстов Dictascope Tokenizer	http://www.dialog-21.ru/media/1692/67.pdf	TASK::Извлечение_именованных_сущностей(0.7434794902801514)|TASK::Дистрибутивная_семантика(0.7434124946594238)|TASK::Тематическое_моделирование(0.7401461601257324)|TASK::Конечные_преобразователи(0.739563524723053)|TASK::Языковые_модели(0.7259082198143005)|TASK::Обработка_речи(0.7144176959991455)|TASK::Извлечение_ключевых_слов(0.7140990495681763)|TASK::Обнаружение_дубликатов(0.7066722512245178)
4	dialogue_2005_aa8b48e4d50e38cab8c80dd71d5734485cb0846d	ru	0.9845442771911621	Планирование Текстов в Системах Генерации на Естественном Языке	http://www.dialog-21.ru/media/2427/sokolova-boldasov3.pdf	TASK::Извлечение_именованных_сущностей(0.735845148563385)|TASK::Тематическое_моделирование(0.734900712966919)|TASK::Конечные_преобразователи(0.7315256595611572)|TASK::Дистрибутивная_семантика(0.7228012681007385)|TASK::Языковые_модели(0.7058639526367188)|TASK::Извлечение_ключевых_слов(0.7003588676452637)
5	dialogue_2003_1fd56eb798725e65c193221e38e7b70cb7c7c3d0	ru	0.9842166900634766	Парадигмы Генерации Ея Текстов в Инструментальной Среде Demling	http://www.dialog-21.ru/media/2610/boldasov.pdf	TASK::Конечные_преобразователи(0.7642776966094971)|TASK::Дистрибутивная_семантика(0.7580523490905762)|TASK::Языковые_модели(0.749174177646637)|TASK::Извлечение_именованных_сущностей(0.7471555471420288)|TASK::Тематическое_моделирование(0.7400932312011719)|TASK::Извлечение_ключевых_слов(0.7192165851593018)|TASK::Обработка_речи(0.7112433910369873)|TASK::Cегментация_текста(0.7016826868057251)
6	dialogue_2003_7d9f139fb2fb787e4ea694a5c520957a626eb050	ru	0.9840662479400635	Синтез Текстовой Информации на Английском Языке при Решении Задач Дистанционного Обучения Иностранному Языку с Использованием Объектного Подхода.	http://www.dialog-21.ru/media/2652/krapuhina.pdf	TASK::Дистрибутивная_семантика(0.7711174488067627)|TASK::Конечные_преобразователи(0.7618119716644287)|TASK::Тематическое_моделирование(0.7587271332740784)|TASK::Языковые_модели(0.7539435625076294)|TASK::Извлечение_именованных_сущностей(0.7403756380081177)|TASK::Извлечение_ключевых_слов(0.7242681980133057)|TASK::Обработка_речи(0.7221455574035645)|TASK::Информационный_поиск(0.7140926122665405)|TASK::Обнаружение_дубликатов(0.7065145969390869)
7	dialogue_2009_c692fba016a4f21ad2ca1583b3fce5f2fbc49bbf	ru	0.9838562607765198	Построение Концептуальных Графов как Элементов Семантической Разметки Текстов	http://www.dialog-21.ru/media/1556/06.pdf	TASK::Дистрибутивная_семантика(0.7701030373573303)|TASK::Тематическое_моделирование(0.7593767642974854)|TASK::Конечные_преобразователи(0.746670126914978)|TASK::Извлечение_именованных_сущностей(0.7385697364807129)|TASK::Языковые_модели(0.7375379800796509)|TASK::Извлечение_ключевых_слов(0.7166210412979126)|TASK::Информационный_поиск(0.7002170085906982)
8	dialogue_2004_36c12d6180598d826a129deca0bec886138bb611	ru	0.9835304021835327	Инструментальная Среда для Экспериментов с Алгоритмами Поверхностно-синтаксического Анализа	http://www.dialog-21.ru/media/2490/batalina.pdf	TASK::Дистрибутивная_семантика(0.7587414979934692)|TASK::Конечные_преобразователи(0.7584372758865356)|TASK::Извлечение_именованных_сущностей(0.7484147548675537)|TASK::Языковые_модели(0.733822226524353)|TASK::Тематическое_моделирование(0.7338032722473145)|TASK::Извлечение_ключевых_слов(0.7111285924911499)
9	dialogue_2003_e6accc639be06ee0e5f150c5b5b106381fba1d5e	ru	0.9833831191062927	Интеллектуальная Система Предсинтаксического Анализа Русского Текста (Испа)	http://www.dialog-21.ru/media/2598/afanisjev.pdf	TASK::Конечные_преобразователи(0.7556031942367554)|TASK::Дистрибутивная_семантика(0.7536410093307495)|TASK::Языковые_модели(0.7453049421310425)|TASK::Извлечение_именованных_сущностей(0.7403303980827332)|TASK::Тематическое_моделирование(0.7362082004547119)|TASK::Обработка_речи(0.7289522886276245)|TASK::Обнаружение_дубликатов(0.7146914005279541)|TASK::Извлечение_ключевых_слов(0.7146365642547607)
10	dialogue_2006_9c82f585a80df33a9636f0a7c9cb81b7c8824e8b	ru	0.9833299517631531	Семантический Подход к Анализу Документов на Основе Онтологии Предметной Области	http://www.dialog-21.ru/media/2003/sidorovae.pdf	TASK::Дистрибутивная_семантика(0.7562234401702881)|TASK::Тематическое_моделирование(0.7549501061439514)|TASK::Конечные_преобразователи(0.7544727325439453)|TASK::Извлечение_именованных_сущностей(0.7437636852264404)|TASK::Языковые_модели(0.7264436483383179)|TASK::Извлечение_ключевых_слов(0.7223389744758606)|TASK::Информационный_поиск(0.7141872644424438)|TASK::Обнаружение_дубликатов(0.7123511433601379)
