1.	Применение Онтологии при...	http://legacy.aistconf.org/stuff/aist2012.pdf
1.	Семантический Поиск Научной...	http://www.dialog-21.ru/digest/2002/articles/zatsman/
2.	Автоматическая Генерация Текстов...	http://www.dialog-21.ru/media/2570/sokolova.pdf
3.	Лексико-синтаксические Шаблоны в...	http://www.dialog-21.ru/media/1832/11.pdf
4.	Модели Лингвистического Транслятора...	http://www.dialog-21.ru/digest/2002/articles/khahalin1/
5.	Язык Описания Правил...	http://www.dialog-21.ru/media/1692/67.pdf
2.	Основные Параметры Прикладного...	http://www.dialog-21.ru/digest/2000/articles/borisova/
1.	Александр Евгеньевич Кибрик:...	http://www.dialog-21.ru/media/1219/alpatovvm.pdf
2.	Теория, Описание, Приложение:...	http://www.dialog-21.ru/digest/2000/articles/loutikova/
3.	Об Оппозиции Системоцентричности...	http://www.dialog-21.ru/digest/2000/articles/parshin/
4.	Квазиискусственный Язык...	http://www.dialog-21.ru/digest/2002/articles/nepejvoda/
5.	К Проблеме Построения...	http://www.dialog-21.ru/media/1994/percov.pdf
3.	Ментальная Лексика, Когнитивная...	http://www.dialog-21.ru/digest/2000/articles/ryabtseva/
1.	Метафорическая Концептуализация Сознания...	http://www.dialog-21.ru/digest/2002/articles/novoselova/
2.	О Семиотической Конгруэнтности...	http://www.dialog-21.ru/digest/2001/articles/zaretskaya/
3.	Категория Понимания, или...	http://www.dialog-21.ru/digest/2002/articles/zaretskaya/
4.	Метафорические Модели Удивления...	http://www.dialog-21.ru/digest/2001/articles/kozerenko/
5.	Против «Разложения Смысла»:...	http://www.dialog-21.ru/media/1727/6.pdf
4.	Реализация Первичного Семантического...	http://www.dialog-21.ru/digest/2000/articles/sokirko/
1.	Визуализация Данных для...	http://www.dialog-21.ru/media/1264/lyashevskaya-mitrofanova.pdf
2.	Семантические Поля Словаря...	http://www.dialog-21.ru/digest/2000/articles/semenova/
3.	Интегрированная Информационная Среда...	http://www.dialog-21.ru/media/1971/krylov.pdf
4.	Смысловая Неполнота в...	http://www.dialog-21.ru/digest/2000/articles/leontyeva/
5.	О Проекте Лингвистического...	http://www.dialog-21.ru/digest/2002/articles/pertsova/
5.	Моделирование Синтаксических Перестановок...	http://www.dialog-21.ru/digest/2000/articles/zimmerling/
1.	Локативная Инверсия в...	http://www.dialog-21.ru/media/1903/82.pdf
2.	Локальные и Глобальные...	http://www.dialog-21.ru/media/1804/84.pdf
3.	Отношение Свободного Порядка...	http://www.dialog-21.ru/media/2029/zimmerling.pdf
4.	Синтаксические Нули в...	http://www.dialog-21.ru/media/1631/81.pdf
5.	Структура Многозначности в...	http://www.dialog-21.ru/media/1845/24.pdf
