language	5487
text	4260
semantic	4180
information	3124
corpus	3106
analysis	2520
speech	2118
sentiment	1944
classification	1740
processing	1631
topic	1531
machine	1490
extraction	1468
translation	1402
corpora	1342
relation	1073
detection	985
recognition	728
entity	674
parsing	574
tagging	557
grammar	556
name	515
distributional	510
embedding	480
modeling	479
retrieval	453
syntax	359
segmentation	323
morphology	288
summarization	281
lemmatization	239
thesaurus	178
keyword	137
finite	114
thesauri	95
tokenization	93
checking	55
duplicate	50
duplicates	38
spellchecking	19
spell	16
concordance	15
deduplication	15
distributive	14
spellchecker	2
дупликаты	0
дубликат	0
